playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
hoffmje02,2016,1,COL,NL,P,8,6,94,3,2,1,1,,,,,
holadbr01,2016,1,TEX,AL,C,27,25,690,143,9,0,3,1,,10,5,
holadbr01,2016,1,TEX,AL,OF,1,0,9,1,0,0,0,,,,,
holadbr01,2016,1,TEX,AL,P,1,0,4,0,0,0,0,,,,,
holadbr01,2016,2,BOS,AL,3B,1,0,3,0,1,0,1,,,,,
holadbr01,2016,2,BOS,AL,C,13,10,254,76,10,1,2,0,,3,3,
holdejo02,2016,1,NYA,AL,P,8,0,25,0,0,0,0,,,,,
hollade01,2016,1,TEX,AL,P,22,20,322,3,8,2,0,,,,,
hollima01,2016,1,SLN,NL,1B,10,9,185,65,10,0,5,,,,,
hollima01,2016,1,SLN,NL,OF,85,82,1932,111,2,0,0,,,,,
holtbr01,2016,1,BOS,AL,2B,8,4,132,10,11,0,1,,,,,
holtbr01,2016,1,BOS,AL,3B,17,11,279,10,29,2,3,,,,,
holtbr01,2016,1,BOS,AL,OF,68,57,1507,107,6,2,2,,,,,
holtbr01,2016,1,BOS,AL,SS,7,4,123,6,12,0,1,,,,,
holtty01,2016,1,CIN,NL,OF,70,33,1139,94,1,1,0,,,,,
holtty01,2016,1,CIN,NL,P,1,0,3,0,0,0,0,,,,,
hoodde01,2016,1,MIA,NL,OF,7,5,129,11,0,0,0,,,,,
hoovejj01,2016,1,CIN,NL,P,18,0,56,0,1,0,0,,,,,
hosmeer01,2016,1,KCA,AL,1B,154,154,4053,1240,74,6,118,,,,,
housetj01,2016,1,CLE,AL,P,4,0,8,0,1,0,0,,,,,
howarry01,2016,1,PHI,NL,1B,83,81,1933,557,45,11,47,,,,,
howeljp01,2016,1,LAN,NL,P,64,0,152,1,8,0,0,,,,,
hoyinja01,2016,1,TEX,AL,OF,31,8,327,17,1,1,0,,,,,
hoyinja01,2016,1,TEX,AL,P,1,0,3,0,0,0,0,,,,,
