yearID,teamID,lgID,playerID,salary,pos
2016,CLE,AL,santaca01,8450000,B
2016,TOR,AL,storedr01,8375000,P
2016,CHW,AL,frazito01,8250000,B
2016,KCR,AL,hosmeer01,8250000,B
2016,NYM,NL,cabreas01,8250000,B
2016,STL,NL,mossbr01,8250000,B
2016,MIA,NL,johnsch05,8007500,B
2016,CHC,NL,fowlede01,8000000,B
2016,COL,NL,parrage01,8000000,B
2016,DET,AL,maybica01,8000000,B
2016,DET,AL,pelfrmi01,8000000,P
2016,HOU,AL,feldmsc01,8000000,P
2016,KCR,AL,daviswa01,8000000,P
2016,LAA,AL,streehu01,8000000,P
2016,PHI,NL,mortoch02,8000000,P
2016,PIT,NL,morsemi01,8000000,B
2016,SEA,AL,lindad01,8000000,B
2016,SEA,AL,seageky01,8000000,B
2016,TEX,AL,desmoia01,8000000,B
2016,WSN,NL,murphda08,8000000,B
2016,NYY,AL,castrst01,7857142,B
2016,LAD,NL,ryuhy01,7833333,P
2016,KCR,AL,infanom01,7750000,B
2016,ARI,NL,tomasya01,7500000,B
2016,KCR,AL,kenneia01,7500000,P
2016,LAD,NL,guerral01,7500000,B
2016,OAK,AL,lowrije01,7500000,B
2016,SEA,AL,benoijo01,7500000,P
2016,STL,NL,lynnla01,7500000,B
2016,DET,AL,rodrifr03,7383481,P
2016,CLE,AL,brantmi02,7375000,B
2016,HOU,AL,keuchda01,7250000,P
2016,MIN,AL,plouftr01,7250000,B
2016,NYM,NL,colonba01,7250000,P
2016,LAD,NL,puigya01,7214285,B
2016,SDP,NL,cashnan01,7150000,P
2016,CLE,AL,napolmi01,7000000,B
2016,HOU,AL,fistedo01,7000000,P
2016,KCR,AL,soriajo01,7000000,P
2016,LAA,AL,escobyu01,7000000,B
2016,LAD,NL,utleych01,7000000,B
2016,PHI,NL,hellije01,7000000,P
2016,BAL,AL,brittza01,6750000,P
2016,DET,AL,martijd02,6750000,B
2016,HOU,AL,gregelu01,6750000,P
2016,SEA,AL,smithse01,6750000,B
2016,NYM,NL,dudalu01,6725000,B
2016,OAK,AL,madsory01,6666667,P
2016,OAK,AL,reddijo01,6575000,B
