playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
schepta01,2016,1,TEX,AL,1,1,10,0,0,0,1,26,6,4,0,3,5,0.188,4.15,1,2,0,0,35,5,4,0,0,0
mccarke01,2016,1,KCA,AL,1,0,10,0,0,0,0,25,11,6,1,5,7,0.314,6.48,0,0,0,0,41,1,8,1,0,0
hellebe01,2016,1,NYA,AL,1,0,10,0,0,0,0,21,11,5,3,4,6,0.324,6.43,1,0,2,0,40,4,5,0,0,0
weavelu01,2016,1,SLN,NL,1,4,9,8,0,0,0,109,46,23,7,12,45,0.311,5.7,0,1,2,0,167,0,29,2,3,3
martico01,2016,1,SEA,AL,1,2,9,2,0,0,0,77,28,11,5,9,15,0.298,3.86,0,0,1,0,107,3,11,2,1,4
roech01,2016,1,BAL,AL,1,0,9,0,0,0,0,29,8,4,2,7,11,0.216,3.72,0,1,0,0,44,6,4,0,0,0
coleaj01,2016,1,WAS,NL,1,2,8,8,0,0,0,115,37,22,7,14,39,0.248,5.17,1,1,2,0,168,0,24,0,3,0
zastrro01,2016,1,CHN,NL,1,0,8,1,0,0,0,48,12,2,0,5,17,0.207,1.13,0,0,1,0,66,1,3,0,2,1
leblawa01,2016,2,PIT,NL,1,0,8,0,0,0,1,36,7,1,0,2,10,0.175,0.75,0,0,0,0,44,4,3,0,2,1
loewead01,2016,1,ARI,NL,1,0,8,0,0,0,0,18,7,10,1,6,3,0.318,15,0,1,1,0,31,3,10,0,2,0
overtdi01,2016,1,OAK,AL,1,3,7,5,0,0,0,73,48,31,12,7,17,0.407,11.47,0,1,1,0,128,2,31,0,2,1
kochma01,2016,1,ARI,NL,1,1,7,2,0,0,1,54,9,4,1,4,10,0.145,2,0,0,2,0,69,4,4,1,0,0
willitr01,2016,1,PIT,NL,1,1,7,1,0,0,0,38,19,11,4,5,11,0.339,7.82,0,0,0,0,61,1,13,0,0,2
stratch01,2016,1,SFN,NL,1,0,7,0,0,0,0,30,11,4,1,5,6,0.289,3.6,0,0,0,0,43,7,4,0,0,2
scottro02,2016,1,BOS,AL,1,0,7,0,0,0,0,18,6,0,0,2,5,0.273,0,0,1,0,0,25,1,0,1,0,0
